порядковый номер броневика,устройство,дата-время прибытия,дата-время отъезда
1,687671,2022-08-31 11:48:27.000000000,2022-08-31 11:58:27.000000000
1,699054,2022-08-31 12:39:02.400000000,2022-08-31 12:49:02.400000000
1,607071,2022-08-31 12:53:40.200000000,2022-08-31 13:03:40.200000000
1,634021,2022-08-31 13:07:47.400000000,2022-08-31 13:17:47.400000000
1,644731,2022-08-31 13:19:18.000000000,2022-08-31 13:29:18.000000000
1,607077,2022-08-31 13:58:34.199999999,2022-08-31 14:08:34.199999999
1,606554,2022-08-31 14:25:34.800000000,2022-08-31 14:35:34.800000000
1,698972,2022-08-31 14:38:40.200000000,2022-08-31 14:48:40.200000000
2,634711,2022-08-31 09:00:00.000000000,2022-08-31 09:10:00.000000000
2,634745,2022-08-31 09:12:46.200000000,2022-08-31 09:22:46.200000000
2,622478,2022-08-31 09:27:59.400000000,2022-08-31 09:37:59.400000000
2,637516,2022-08-31 09:41:16.800000000,2022-08-31 09:51:16.800000000
2,607792,2022-08-31 10:00:09.600000000,2022-08-31 10:10:09.600000000
2,677501,2022-08-31 10:11:54.000000000,2022-08-31 10:21:54.000000000
2,658891,2022-08-31 10:28:44.400000000,2022-08-31 10:38:44.400000000
2,682152,2022-08-31 10:43:42.000000000,2022-08-31 10:53:42.000000000
2,692835,2022-08-31 11:05:30.600000000,2022-08-31 11:15:30.600000000
2,406536,2022-08-31 11:26:08.400000000,2022-08-31 11:36:08.400000000
2,688345,2022-08-31 11:47:26.400000000,2022-08-31 11:57:26.400000000
2,608080,2022-08-31 12:01:10.800000000,2022-08-31 12:11:10.800000000
2,688214,2022-08-31 12:13:02.400000000,2022-08-31 12:23:02.400000000
2,637538,2022-08-31 12:24:50.400000000,2022-08-31 12:34:50.400000000
2,606074,2022-08-31 12:43:18.000000000,2022-08-31 12:53:18.000000000
2,606149,2022-08-31 12:59:10.800000000,2022-08-31 13:09:10.800000000
2,607730,2022-08-31 13:23:46.200000000,2022-08-31 13:33:46.200000000
2,619514,2022-08-31 13:43:29.400000000,2022-08-31 13:53:29.400000000
2,634657,2022-08-31 13:56:31.800000000,2022-08-31 14:06:31.800000000
2,635763,2022-08-31 14:16:50.400000000,2022-08-31 14:26:50.400000000
2,607519,2022-08-31 14:51:05.400000000,2022-08-31 15:01:05.400000000
2,622313,2022-08-31 15:24:28.200000000,2022-08-31 15:34:28.200000000
2,634558,2022-08-31 15:58:50.400000000,2022-08-31 16:08:50.400000000
3,658382,2022-08-31 09:00:00.000000000,2022-08-31 09:10:00.000000000
3,635091,2022-08-31 09:23:10.200000000,2022-08-31 09:33:10.200000000
3,658363,2022-08-31 09:43:50.400000000,2022-08-31 09:53:50.400000000
3,609399,2022-08-31 09:58:05.400000000,2022-08-31 10:08:05.400000000
3,622463,2022-08-31 10:18:16.200000000,2022-08-31 10:28:16.200000000
3,619704,2022-08-31 10:43:33.000000000,2022-08-31 10:53:33.000000000
3,644858,2022-08-31 11:05:01.800000000,2022-08-31 11:15:01.800000000
3,629839,2022-08-31 11:22:18.600000000,2022-08-31 11:32:18.600000000
3,635743,2022-08-31 11:46:52.800000000,2022-08-31 11:56:52.800000000
3,688325,2022-08-31 12:00:36.600000000,2022-08-31 12:10:36.600000000
3,609485,2022-08-31 12:21:35.400000000,2022-08-31 12:31:35.400000000
3,679109,2022-08-31 12:45:57.000000000,2022-08-31 12:55:57.000000000
3,698652,2022-08-31 13:06:55.200000000,2022-08-31 13:16:55.200000000
3,698658,2022-08-31 13:30:09.000000000,2022-08-31 13:40:09.000000000
3,682293,2022-08-31 14:09:18.600000000,2022-08-31 14:19:18.600000000
3,634975,2022-08-31 15:08:05.400000000,2022-08-31 15:18:05.400000000
4,608011,2022-08-31 09:00:00.000000000,2022-08-31 09:10:00.000000000
4,639713,2022-08-31 09:18:41.400000000,2022-08-31 09:28:41.400000000
4,607558,2022-08-31 09:38:33.600000000,2022-08-31 09:48:33.600000000
4,634946,2022-08-31 09:57:37.200000000,2022-08-31 10:07:37.200000000
4,687662,2022-08-31 10:22:56.400000000,2022-08-31 10:32:56.400000000
4,636468,2022-08-31 10:49:31.800000000,2022-08-31 10:59:31.800000000
4,661165,2022-08-31 11:10:40.200000000,2022-08-31 11:20:40.200000000
4,649851,2022-08-31 11:24:33.600000000,2022-08-31 11:34:33.600000000
4,607773,2022-08-31 11:43:49.800000000,2022-08-31 11:53:49.800000000
4,607769,2022-08-31 12:02:41.400000000,2022-08-31 12:12:41.400000000
4,682257,2022-08-31 12:22:49.800000000,2022-08-31 12:32:49.800000000
4,635211,2022-08-31 12:35:09.600000000,2022-08-31 12:45:09.600000000
4,636710,2022-08-31 12:47:30.600000000,2022-08-31 12:57:30.600000000
4,633088,2022-08-31 13:00:10.800000000,2022-08-31 13:10:10.800000000
4,608062,2022-08-31 13:14:22.200000000,2022-08-31 13:24:22.200000000
4,608057,2022-08-31 13:24:50.400000000,2022-08-31 13:34:50.400000000
4,608039,2022-08-31 13:36:18.000000000,2022-08-31 13:46:18.000000000
4,608061,2022-08-31 13:48:34.199999999,2022-08-31 13:58:34.199999999
4,605329,2022-08-31 14:05:16.800000000,2022-08-31 14:15:16.800000000
4,635518,2022-08-31 14:21:37.800000000,2022-08-31 14:31:37.800000000
4,689154,2022-08-31 14:47:00.000000000,2022-08-31 14:57:00.000000000
4,619643,2022-08-31 15:10:14.400000000,2022-08-31 15:20:14.400000000
4,606088,2022-08-31 15:46:55.800000000,2022-08-31 15:56:55.800000000
4,607585,2022-08-31 16:35:46.200000000,2022-08-31 16:45:46.200000000
5,607786,2022-08-31 09:00:00.000000000,2022-08-31 09:10:00.000000000
5,634740,2022-08-31 09:20:40.800000000,2022-08-31 09:30:40.800000000
5,634797,2022-08-31 09:31:58.800000000,2022-08-31 09:41:58.800000000
5,622371,2022-08-31 09:44:00.600000000,2022-08-31 09:54:00.600000000
5,672190,2022-08-31 09:56:55.800000000,2022-08-31 10:06:55.800000000
5,646935,2022-08-31 10:08:21.600000000,2022-08-31 10:18:21.600000000
5,698686,2022-08-31 10:21:16.800000000,2022-08-31 10:31:16.800000000
5,677559,2022-08-31 10:39:31.800000000,2022-08-31 10:49:31.800000000
5,644486,2022-08-31 10:58:40.200000000,2022-08-31 11:08:40.200000000
5,645902,2022-08-31 11:26:49.800000000,2022-08-31 11:36:49.800000000
5,677522,2022-08-31 11:54:25.200000000,2022-08-31 12:04:25.200000000
5,668584,2022-08-31 12:08:40.200000000,2022-08-31 12:18:40.200000000
5,635556,2022-08-31 12:27:46.200000000,2022-08-31 12:37:46.200000000
5,646868,2022-08-31 12:41:13.800000000,2022-08-31 12:51:13.800000000
5,619728,2022-08-31 12:54:18.000000000,2022-08-31 13:04:18.000000000
5,619584,2022-08-31 13:28:16.800000000,2022-08-31 13:38:16.800000000
5,634862,2022-08-31 13:52:05.400000000,2022-08-31 14:02:05.400000000
5,622377,2022-08-31 14:16:33.000000000,2022-08-31 14:26:33.000000000
5,635559,2022-08-31 14:42:16.800000000,2022-08-31 14:52:16.800000000
5,644459,2022-08-31 15:09:39.000000000,2022-08-31 15:19:39.000000000
5,680614,2022-08-31 15:21:31.200000000,2022-08-31 15:31:31.200000000
5,686161,2022-08-31 15:46:30.600000000,2022-08-31 15:56:30.600000000
5,692541,2022-08-31 16:01:42.000000000,2022-08-31 16:11:42.000000000
5,607752,2022-08-31 16:14:46.200000000,2022-08-31 16:24:46.200000000
5,687668,2022-08-31 16:28:03.000000000,2022-08-31 16:38:03.000000000
6,622459,2022-08-31 09:00:00.000000000,2022-08-31 09:10:00.000000000
6,606170,2022-08-31 09:14:04.200000000,2022-08-31 09:24:04.200000000
6,406190,2022-08-31 09:27:10.200000000,2022-08-31 09:37:10.200000000
6,619593,2022-08-31 09:49:04.800000000,2022-08-31 09:59:04.800000000
6,663189,2022-08-31 10:18:49.800000000,2022-08-31 10:28:49.800000000
6,676489,2022-08-31 10:38:26.400000000,2022-08-31 10:48:26.400000000
6,682273,2022-08-31 11:18:04.200000000,2022-08-31 11:28:04.200000000
6,634822,2022-08-31 11:55:03.600000000,2022-08-31 12:05:03.600000000
6,662905,2022-08-31 12:14:29.400000000,2022-08-31 12:24:29.400000000
6,609123,2022-08-31 12:31:37.200000000,2022-08-31 12:41:37.200000000
6,660401,2022-08-31 12:52:05.400000000,2022-08-31 13:02:05.400000000
6,406596,2022-08-31 13:06:19.800000000,2022-08-31 13:16:19.800000000
6,660401,2022-08-31 13:20:34.199999999,2022-08-31 13:30:34.199999999
6,609993,2022-08-31 13:42:11.400000000,2022-08-31 13:52:11.400000000
6,658347,2022-08-31 14:00:59.400000000,2022-08-31 14:10:59.400000000
6,635285,2022-08-31 14:17:18.600000000,2022-08-31 14:27:18.600000000
6,616657,2022-08-31 14:41:15.600000000,2022-08-31 14:51:15.600000000
6,406136,2022-08-31 15:00:36.000000000,2022-08-31 15:10:36.000000000
6,607029,2022-08-31 15:22:16.800000000,2022-08-31 15:32:16.800000000
6,683756,2022-08-31 15:36:36.000000000,2022-08-31 15:46:36.000000000
6,619193,2022-08-31 15:59:44.400000000,2022-08-31 16:09:44.400000000
6,676479,2022-08-31 16:39:36.600000000,2022-08-31 16:49:36.600000000
6,619201,2022-08-31 16:57:22.800000000,2022-08-31 17:07:22.800000000
7,607005,2022-08-31 09:00:00.000000000,2022-08-31 09:10:00.000000000
7,619587,2022-08-31 09:40:22.800000000,2022-08-31 09:50:22.800000000
7,698993,2022-08-31 10:01:22.800000000,2022-08-31 10:11:22.800000000
7,657948,2022-08-31 10:26:46.800000000,2022-08-31 10:36:46.800000000
7,619209,2022-08-31 10:38:18.000000000,2022-08-31 10:48:18.000000000
7,607090,2022-08-31 11:28:06.600000000,2022-08-31 11:38:06.600000000
7,679673,2022-08-31 12:08:06.600000000,2022-08-31 12:18:06.600000000
7,627732,2022-08-31 12:53:00.600000000,2022-08-31 13:03:00.600000000
7,645352,2022-08-31 13:13:38.400000000,2022-08-31 13:23:38.400000000
7,634901,2022-08-31 13:54:23.400000000,2022-08-31 14:04:23.400000000
7,649505,2022-08-31 14:31:58.800000000,2022-08-31 14:41:58.800000000
7,688899,2022-08-31 15:06:38.400000000,2022-08-31 15:16:38.400000000
7,635247,2022-08-31 15:30:32.400000000,2022-08-31 15:40:32.400000000
7,640036,2022-08-31 16:06:15.600000000,2022-08-31 16:16:15.600000000
7,635527,2022-08-31 16:18:55.800000000,2022-08-31 16:28:55.800000000
7,645477,2022-08-31 16:45:43.200000000,2022-08-31 16:55:43.200000000
7,619188,2022-08-31 17:03:00.000000000,2022-08-31 17:13:00.000000000
7,630465,2022-08-31 17:18:02.400000000,2022-08-31 17:28:02.400000000
7,609118,2022-08-31 17:47:42.600000000,2022-08-31 17:57:42.600000000
0,609337,2022-09-01 09:00:00,2022-09-01 09:10:00
0,635440,2022-09-01 09:39:44.400000,2022-09-01 09:49:44.400000
0,607056,2022-09-01 10:12:58.200000,2022-09-01 10:22:58.200000
0,693237,2022-09-01 10:46:49.800000,2022-09-01 10:56:49.800000
0,619607,2022-09-01 11:25:23.400000,2022-09-01 11:35:23.400000
0,635701,2022-09-01 11:49:52.800000,2022-09-01 11:59:52.800000
0,619229,2022-09-01 12:11:31.800000,2022-09-01 12:21:31.800000
0,606171,2022-09-01 12:33:36.600000,2022-09-01 12:43:36.600000
0,606168,2022-09-01 12:49:12,2022-09-01 12:59:12
0,606199,2022-09-01 13:26:36,2022-09-01 13:36:36
0,668587,2022-09-01 13:39:00.600000,2022-09-01 13:49:00.600000
1,693096,2022-09-01 09:00:00,2022-09-01 09:10:00
1,649973,2022-09-01 09:17:01.200000,2022-09-01 09:27:01.200000
1,622469,2022-09-01 09:27:41.400000,2022-09-01 09:37:41.400000
1,649973,2022-09-01 09:38:21.600000,2022-09-01 09:48:21.600000
1,634917,2022-09-01 09:53:34.800000,2022-09-01 10:03:34.800000
1,622423,2022-09-01 10:08:52.200000,2022-09-01 10:18:52.200000
1,645468,2022-09-01 10:41:37.200000,2022-09-01 10:51:37.200000
1,662497,2022-09-01 11:50:34.199999999,2022-09-01 12:00:34.199999999
1,607001,2022-09-01 12:49:03,2022-09-01 12:59:03
1,609089,2022-09-01 13:33:26.400000,2022-09-01 13:43:26.400000
1,680632,2022-09-01 14:58:52.800000,2022-09-01 15:08:52.800000
2,649874,2022-09-01 09:00:00,2022-09-01 09:10:00
2,629748,2022-09-01 09:54:47.400000,2022-09-01 10:04:47.400000
2,619617,2022-09-01 10:19:48,2022-09-01 10:29:48
2,674406,2022-09-01 10:47:12,2022-09-01 10:57:12
2,637199,2022-09-01 11:05:55.200000,2022-09-01 11:15:55.200000
2,406597,2022-09-01 11:23:01.800000,2022-09-01 11:33:01.800000
2,619507,2022-09-01 11:42:39.600000,2022-09-01 11:52:39.600000
2,629728,2022-09-01 12:03:37.200000,2022-09-01 12:13:37.200000
2,619658,2022-09-01 12:23:30.600000,2022-09-01 12:33:30.600000
2,680316,2022-09-01 12:39:51,2022-09-01 12:49:51
2,692636,2022-09-01 13:02:33.600000,2022-09-01 13:12:33.600000
2,637514,2022-09-01 13:18:39.600000,2022-09-01 13:28:39.600000
2,406504,2022-09-01 13:44:31.200000,2022-09-01 13:54:31.200000
2,634878,2022-09-01 14:14:57,2022-09-01 14:24:57
2,676981,2022-09-01 14:30:58.800000,2022-09-01 14:40:58.800000
2,687650,2022-09-01 15:12:31.200000,2022-09-01 15:22:31.200000
2,635532,2022-09-01 15:45:25.200000,2022-09-01 15:55:25.200000
2,622359,2022-09-01 16:38:25.800000,2022-09-01 16:48:25.800000
2,618794,2022-09-01 16:52:11.400000,2022-09-01 17:02:11.400000
2,647741,2022-09-01 17:07:36.600000,2022-09-01 17:17:36.600000
2,649751,2022-09-01 17:19:31.800000,2022-09-01 17:29:31.800000
2,635261,2022-09-01 17:31:57,2022-09-01 17:41:57
2,622435,2022-09-01 17:43:49.200000,2022-09-01 17:53:49.200000
2,635212,2022-09-01 18:25:17.400000,2022-09-01 18:35:17.400000
3,667509,2022-09-01 09:00:00,2022-09-01 09:10:00
3,644727,2022-09-01 10:40:33.600000,2022-09-01 10:50:33.600000
3,635737,2022-09-01 10:52:30,2022-09-01 11:02:30
3,609492,2022-09-01 11:28:11.400000,2022-09-01 11:38:11.400000
3,636512,2022-09-01 12:08:25.200000,2022-09-01 12:18:25.200000
3,622390,2022-09-01 12:18:57,2022-09-01 12:28:57
3,687688,2022-09-01 12:34:39,2022-09-01 12:44:39
3,634971,2022-09-01 13:14:30.600000,2022-09-01 13:24:30.600000
3,689146,2022-09-01 13:41:06.600000,2022-09-01 13:51:06.600000
3,688304,2022-09-01 14:02:11.400000,2022-09-01 14:12:11.400000
3,644825,2022-09-01 14:26:45,2022-09-01 14:36:45
3,406509,2022-09-01 14:55:54,2022-09-01 15:05:54
3,649161,2022-09-01 15:14:14.400000,2022-09-01 15:24:14.400000
3,622398,2022-09-01 16:06:06,2022-09-01 16:16:06
3,688293,2022-09-01 17:01:09.600000,2022-09-01 17:11:09.600000
4,627708,2022-09-01 09:00:00,2022-09-01 09:10:00
4,635516,2022-09-01 09:20:11.400000,2022-09-01 09:30:11.400000
4,623376,2022-09-01 09:42:28.200000,2022-09-01 09:52:28.200000
4,634702,2022-09-01 10:01:23.400000,2022-09-01 10:11:23.400000
4,699664,2022-09-01 10:27:31.800000,2022-09-01 10:37:31.800000
4,407002,2022-09-01 10:46:09.600000,2022-09-01 10:56:09.600000
4,692629,2022-09-01 10:59:19.800000,2022-09-01 11:09:19.800000
4,634986,2022-09-01 11:30:28.800000,2022-09-01 11:40:28.800000
4,622388,2022-09-01 11:40:56.400000,2022-09-01 11:50:56.400000
4,608089,2022-09-01 12:00:16.800000,2022-09-01 12:10:16.800000
4,609338,2022-09-01 12:16:00.600000,2022-09-01 12:26:00.600000
4,606012,2022-09-01 12:29:57.600000,2022-09-01 12:39:57.600000
4,636082,2022-09-01 12:45:34.800000,2022-09-01 12:55:34.800000
4,634825,2022-09-01 12:57:17.400000,2022-09-01 13:07:17.400000
4,668122,2022-09-01 13:10:55.200000,2022-09-01 13:20:55.200000
4,605373,2022-09-01 13:23:03,2022-09-01 13:33:03
4,625032,2022-09-01 13:34:48.600000,2022-09-01 13:44:48.600000
4,609116,2022-09-01 13:48:21,2022-09-01 13:58:21
4,644862,2022-09-01 14:01:01.800000,2022-09-01 14:11:01.800000
4,634761,2022-09-01 14:15:19.800000,2022-09-01 14:25:19.800000
4,609409,2022-09-01 14:25:46.200000,2022-09-01 14:35:46.200000
4,641549,2022-09-01 14:42:34.199999999,2022-09-01 14:52:34.199999999
4,634660,2022-09-01 14:59:54,2022-09-01 15:09:54
4,688211,2022-09-01 15:16:15.600000,2022-09-01 15:26:15.600000
4,634647,2022-09-01 15:34:06,2022-09-01 15:44:06
4,657936,2022-09-01 15:50:51,2022-09-01 16:00:51
4,695030,2022-09-01 16:14:38.400000,2022-09-01 16:24:38.400000
4,609853,2022-09-01 16:29:35.400000,2022-09-01 16:39:35.400000
4,634977,2022-09-01 16:53:13.800000,2022-09-01 17:03:13.800000
4,635286,2022-09-01 17:16:48,2022-09-01 17:26:48
5,676339,2022-09-01 09:00:00,2022-09-01 09:10:00
5,679082,2022-09-01 09:51:01.200000,2022-09-01 10:01:01.200000
5,607513,2022-09-01 10:17:39.600000,2022-09-01 10:27:39.600000
5,607515,2022-09-01 10:30:43.800000,2022-09-01 10:40:43.800000
5,653692,2022-09-01 10:44:49.200000,2022-09-01 10:54:49.200000
5,607512,2022-09-01 10:57:29.400000,2022-09-01 11:07:29.400000
5,682784,2022-09-01 11:12:42.600000,2022-09-01 11:22:42.600000
5,622489,2022-09-01 11:43:36,2022-09-01 11:53:36
5,607523,2022-09-01 12:14:22.200000,2022-09-01 12:24:22.200000
5,606160,2022-09-01 12:39:12.600000,2022-09-01 12:49:12.600000
5,605393,2022-09-01 13:07:56.400000,2022-09-01 13:17:56.400000
5,636538,2022-09-01 13:25:51,2022-09-01 13:35:51
5,606139,2022-09-01 13:42:35.400000,2022-09-01 13:52:35.400000
5,682188,2022-09-01 14:01:20.400000,2022-09-01 14:11:20.400000
5,635217,2022-09-01 14:15:03,2022-09-01 14:25:03
5,680315,2022-09-01 14:38:00,2022-09-01 14:48:00
5,607761,2022-09-01 14:59:33,2022-09-01 15:09:33
5,407025,2022-09-01 15:12:22.800000,2022-09-01 15:22:22.800000
5,669262,2022-09-01 15:28:52.200000,2022-09-01 15:38:52.200000
5,607764,2022-09-01 15:51:27.600000,2022-09-01 16:01:27.600000
5,608047,2022-09-01 16:13:30,2022-09-01 16:23:30
5,608071,2022-09-01 16:28:42.600000,2022-09-01 16:38:42.600000
5,608044,2022-09-01 16:44:24.600000,2022-09-01 16:54:24.600000
5,686192,2022-09-01 17:13:28.800000,2022-09-01 17:23:28.800000
5,622316,2022-09-01 17:30:11.400000,2022-09-01 17:40:11.400000
5,682799,2022-09-01 17:45:36.600000,2022-09-01 17:55:36.600000
5,607599,2022-09-01 17:59:17.400000,2022-09-01 18:09:17.400000
5,607579,2022-09-01 18:27:21.600000,2022-09-01 18:37:21.600000
6,619168,2022-09-01 09:00:00,2022-09-01 09:10:00
6,634918,2022-09-01 09:11:35.400000,2022-09-01 09:21:35.400000
6,699068,2022-09-01 09:23:27,2022-09-01 09:33:27
6,607011,2022-09-01 10:30:38.400000,2022-09-01 10:40:38.400000
6,686191,2022-09-01 10:47:51,2022-09-01 10:57:51
6,622496,2022-09-01 11:00:24,2022-09-01 11:10:24
6,607062,2022-09-01 11:42:27,2022-09-01 11:52:27
6,607066,2022-09-01 12:02:08.400000,2022-09-01 12:12:08.400000
6,698991,2022-09-01 12:57:49.200000,2022-09-01 13:07:49.200000
6,606563,2022-09-01 13:44:21,2022-09-01 13:54:21
6,680634,2022-09-01 13:58:31.800000,2022-09-01 14:08:31.800000
6,606562,2022-09-01 14:11:46.800000,2022-09-01 14:21:46.800000
6,606559,2022-09-01 14:25:45,2022-09-01 14:35:45
6,634888,2022-09-01 14:37:01.200000,2022-09-01 14:47:01.200000
6,635235,2022-09-01 15:24:09.600000,2022-09-01 15:34:09.600000
6,639712,2022-09-01 15:40:37.200000,2022-09-01 15:50:37.200000
6,649981,2022-09-01 15:52:07.200000,2022-09-01 16:02:07.200000
6,619217,2022-09-01 16:09:59.400000,2022-09-01 16:19:59.400000
6,606575,2022-09-01 16:48:06,2022-09-01 16:58:06
6,606578,2022-09-01 17:01:28.800000,2022-09-01 17:11:28.800000
6,619705,2022-09-01 17:14:21.600000,2022-09-01 17:24:21.600000
6,606576,2022-09-01 17:27:54.600000,2022-09-01 17:37:54.600000
6,606579,2022-09-01 17:39:42.600000,2022-09-01 17:49:42.600000
6,662968,2022-09-01 18:21:31.800000,2022-09-01 18:31:31.800000
6,622348,2022-09-01 18:33:42,2022-09-01 18:43:42
6,619206,2022-09-01 18:50:42,2022-09-01 19:00:42
6,607003,2022-09-01 19:01:58.200000,2022-09-01 19:11:58.200000
7,635287,2022-09-01 09:00:00,2022-09-01 09:10:00
7,635534,2022-09-01 09:15:41.400000,2022-09-01 09:25:41.400000
7,682238,2022-09-01 10:13:06.600000,2022-09-01 10:23:06.600000
7,661118,2022-09-01 10:26:36,2022-09-01 10:36:36
7,620787,2022-09-01 11:04:05.400000,2022-09-01 11:14:05.400000
7,635243,2022-09-01 11:38:24.600000,2022-09-01 11:48:24.600000
7,645374,2022-09-01 11:51:23.400000,2022-09-01 12:01:23.400000
7,698950,2022-09-01 12:05:06.600000,2022-09-01 12:15:06.600000
7,638416,2022-09-01 13:18:16.800000,2022-09-01 13:28:16.800000
7,622362,2022-09-01 14:07:53.400000,2022-09-01 14:17:53.400000
7,690262,2022-09-01 14:59:58.200000,2022-09-01 15:09:58.200000
7,698945,2022-09-01 15:12:39,2022-09-01 15:22:39
7,635587,2022-09-01 15:28:00,2022-09-01 15:38:00
7,623320,2022-09-01 15:47:37.800000,2022-09-01 15:57:37.800000
7,619586,2022-09-01 16:34:35.400000,2022-09-01 16:44:35.400000
7,698983,2022-09-01 17:24:50.400000,2022-09-01 17:34:50.400000
7,607705,2022-09-01 17:36:42.600000,2022-09-01 17:46:42.600000
7,687618,2022-09-01 18:38:21,2022-09-01 18:48:21
0,606533,2022-09-02 09:00:00,2022-09-02 09:10:00
0,698677,2022-09-02 09:50:30.600000,2022-09-02 10:00:30.600000
0,608082,2022-09-02 10:07:07.200000,2022-09-02 10:17:07.200000
0,689138,2022-09-02 10:27:03,2022-09-02 10:37:03
0,628643,2022-09-02 10:58:30,2022-09-02 11:08:30
0,607064,2022-09-02 11:52:16.200000,2022-09-02 12:02:16.200000
0,608566,2022-09-02 12:21:48,2022-09-02 12:31:48
0,690294,2022-09-02 12:52:18,2022-09-02 13:02:18
0,608567,2022-09-02 13:45:37.800000,2022-09-02 13:55:37.800000
0,698994,2022-09-02 14:31:47.400000,2022-09-02 14:41:47.400000
0,619580,2022-09-02 14:44:17.400000,2022-09-02 14:54:17.400000
1,606057,2022-09-02 09:00:00,2022-09-02 09:10:00
1,605380,2022-09-02 09:23:55.800000,2022-09-02 09:33:55.800000
1,683131,2022-09-02 09:38:01.800000,2022-09-02 09:48:01.800000
1,676996,2022-09-02 09:54:12,2022-09-02 10:04:12
1,605381,2022-09-02 10:13:39,2022-09-02 10:23:39
1,607569,2022-09-02 10:38:39.600000,2022-09-02 10:48:39.600000
1,634973,2022-09-02 11:07:48.600000,2022-09-02 11:17:48.600000
1,644082,2022-09-02 11:29:24.600000,2022-09-02 11:39:24.600000
1,688349,2022-09-02 12:09:34.800000,2022-09-02 12:19:34.800000
1,699090,2022-09-02 12:41:53.400000,2022-09-02 12:51:53.400000
1,634835,2022-09-02 13:01:42.600000,2022-09-02 13:11:42.600000
1,635736,2022-09-02 13:15:34.199999999,2022-09-02 13:25:34.199999999
1,638408,2022-09-02 13:30:55.800000,2022-09-02 13:40:55.800000
1,683719,2022-09-02 14:18:04.800000,2022-09-02 14:28:04.800000
1,677547,2022-09-02 14:56:18,2022-09-02 15:06:18
2,698971,2022-09-02 09:00:00,2022-09-02 09:10:00
2,699052,2022-09-02 09:58:40.800000,2022-09-02 10:08:40.800000
2,627739,2022-09-02 10:54:26.400000,2022-09-02 11:04:26.400000
2,644736,2022-09-02 11:21:07.200000,2022-09-02 11:31:07.200000
2,635757,2022-09-02 12:01:24.600000,2022-09-02 12:11:24.600000
2,635267,2022-09-02 12:21:06,2022-09-02 12:31:06
2,644013,2022-09-02 12:43:49.800000,2022-09-02 12:53:49.800000
2,659676,2022-09-02 13:07:33,2022-09-02 13:17:33
2,691855,2022-09-02 13:23:10.800000,2022-09-02 13:33:10.800000
2,698703,2022-09-02 13:40:37.200000,2022-09-02 13:50:37.200000
2,634674,2022-09-02 13:57:33,2022-09-02 14:07:33
2,644488,2022-09-02 14:23:45.600000,2022-09-02 14:33:45.600000
2,606029,2022-09-02 14:47:43.800000,2022-09-02 14:57:43.800000
2,666579,2022-09-02 15:02:05.400000,2022-09-02 15:12:05.400000
2,634651,2022-09-02 15:18:28.200000,2022-09-02 15:28:28.200000
2,634722,2022-09-02 15:36:20.400000,2022-09-02 15:46:20.400000
2,698634,2022-09-02 15:58:16.800000,2022-09-02 16:08:16.800000
2,634668,2022-09-02 16:13:39,2022-09-02 16:23:39
2,683709,2022-09-02 16:31:19.800000,2022-09-02 16:41:19.800000
2,636045,2022-09-02 16:42:00,2022-09-02 16:52:00
2,686145,2022-09-02 16:58:57.600000,2022-09-02 17:08:57.600000
2,636752,2022-09-02 17:13:40.800000,2022-09-02 17:23:40.800000
2,691462,2022-09-02 17:28:12,2022-09-02 17:38:12
2,635715,2022-09-02 18:05:24,2022-09-02 18:15:24
2,677537,2022-09-02 18:43:24,2022-09-02 18:53:24
